Monday 11:0-21:0  Tuesday 11:0-21:0  Wednesday 11:0-21:0  Thursday 11:0-21:0  Friday 11:0-22:0  Saturday 10:0-22:0  Sunday 11:0-18:0,No,227 E Baseline Rd  Ste J2,  Tobacco Shops    Nightlife    Vape Shops    Shopping  ,Tempe,17,Innovative Vapors,-111.936102,AZ,4.5,33.3782141,  BikeParking: True    BusinessAcceptsBitcoin: False    BusinessAcceptsCreditCards: True    BusinessParking: { garage : False   street : False   validated : False   lot : True   valet : False}    DogsAllowed: False    RestaurantsPriceRange2: 2    WheelchairAccessible: True  
Monday 0:0-0:0  Tuesday 0:0-0:0  Wednesday 0:0-0:0  Thursday 0:0-0:0  Friday 0:0-0:0  Saturday 0:0-0:0  Sunday 0:0-0:0,Yes,495 S Grand Central Pkwy,  Caterers    Grocery    Food    Event Planning & Services    Party & Event Planning    Specialty Food  ,Las Vegas,9,Cut and Taste,-115.1592718,NV,5,36.1922841,  BusinessAcceptsBitcoin: False    BusinessAcceptsCreditCards: True  
Monday 11:0-2:0  Tuesday 11:0-2:0  Wednesday 11:0-2:0  Thursday 11:0-3:0  Friday 11:0-3:0  Saturday 11:0-3:0  Sunday 11:0-2:0,Yes,979 Bloor Street W,  Restaurants    Pizza    Chicken Wings    Italian  ,Toronto,7,Pizza Pizza,-79.429089,ON,2.5,43.661054,  Alcohol: none    Ambience: { romantic : False   intimate : False   classy : False   hipster : False   touristy : False   trendy : False   upscale : False   casual : False}    BikeParking: True    BusinessAcceptsCreditCards: True    BusinessParking: { garage : False   street : False   validated : False   lot : False   valet : False}    Caters: True    GoodForKids: True    GoodForMeal: { dessert : False   latenight : False   lunch : False   dinner : False   breakfast : False   brunch : False}    HasTV: True    NoiseLevel: quiet    OutdoorSeating: False    RestaurantsAttire: casual    RestaurantsDelivery: True    RestaurantsGoodForGroups: True    RestaurantsPriceRange2: 1    RestaurantsReservations: False    RestaurantsTableService: False    RestaurantsTakeOut: True    WiFi: free  
Tuesday 10:0-21:0  Wednesday 10:0-21:0  Thursday 10:0-21:0  Friday 10:0-18:0  Saturday 9:0-16:0,Yes,7014 Steubenville Pike,  Hair Removal    Beauty & Spas    Blow Dry  Out Services    Hair Stylists    Hair Extensions    Massage    Permanent Makeup    Waxing    Hair Salons  ,Oakdale,4,Plush Salon and Spa,-80.17453989,PA,4,40.44454395,  AcceptsInsurance: False    BusinessAcceptsCreditCards: True    BusinessParking: { garage : False   street : False   validated : False   lot : True   valet : False}    ByAppointmentOnly: True    HairSpecializesIn: { coloring : False   africanamerican : False   curly : False   perms : False   kids : False   extensions : False   asian : False   straightperms : False}    RestaurantsPriceRange2: 3  
,Yes,321 Jarvis Street,  Hotels & Travel    Event Planning & Services    Hotels  ,Toronto,8,Comfort Inn,-79.3754006,ON,3,43.6598286,  BusinessAcceptsCreditCards: True    RestaurantsPriceRange2: 2    WiFi: free  
Monday 10:30-20:0  Tuesday 10:30-20:0  Thursday 10:30-20:0  Friday 10:30-20:0  Saturday 10:30-19:0  Sunday 10:30-19:0,Yes,30 Gibson Drive  Suite122,  Nail Salons    Beauty & Spas  ,Markham,3,A Plus Nail,-79.342722,ON,2.5,43.82764,  BusinessAcceptsCreditCards: True    ByAppointmentOnly: True    RestaurantsPriceRange2: 3  
Monday 10:0-18:0  Tuesday 10:0-18:0  Wednesday 10:0-18:0  Thursday 10:0-18:0  Friday 10:0-18:0  Saturday 10:0-18:0  Sunday 11:0-16:0,Yes,10875 N Frankloyd Wright Blvd,  Baby Gear & Furniture    Shopping  ,Scottsdale,8,Boomerang Baby,-111.8349538,AZ,3.5,33.5852707,  BikeParking: True    BusinessAcceptsCreditCards: True    BusinessParking: { garage : False   street : False   validated : False   lot : True   valet : False}    RestaurantsPriceRange2: 2    WheelchairAccessible: True  
Monday 10:0-22:0  Tuesday 10:0-22:0  Wednesday 10:0-22:0  Thursday 10:0-22:0  Friday 10:0-22:0  Saturday 10:0-22:0  Sunday 10:0-22:0,Yes,11072 No Frank Lloyd Wright,  Tex-Mex    Mexican    Fast Food    Restaurants  ,Scottsdale,9,Taco Bell,-111.83541,AZ,2.5,33.58671,  Alcohol: none    Ambience: { romantic : False   intimate : False   classy : False   hipster : False   divey : False   touristy : False   trendy : False   upscale : False   casual : False}    BikeParking: True    BusinessAcceptsCreditCards: True    BusinessParking: { garage : False   street : False   validated : False   lot : False   valet : False}    DriveThru: True    GoodForKids: True    GoodForMeal: { dessert : False   latenight : False   lunch : False   dinner : False   breakfast : False   brunch : False}    HasTV: False    NoiseLevel: quiet    OutdoorSeating: False    RestaurantsAttire: casual    RestaurantsDelivery: False    RestaurantsGoodForGroups: True    RestaurantsPriceRange2: 1    RestaurantsReservations: False    RestaurantsTableService: False    RestaurantsTakeOut: True    WiFi: no  
Monday 9:30-18:0  Tuesday 9:30-18:0  Wednesday 9:30-18:0  Thursday 9:30-18:0  Friday 9:30-18:0  Saturday 8:30-17:0  Sunday 11:0-15:0,Yes,11000 North 115th Street,  Local Services    Self Storage  ,Scottsdale,11,CubeSmart Self Storage,-111.8325788,AZ,4.5,33.5864403,  BusinessAcceptsCreditCards: True  
,Yes,Hauptstr. 1,  Food    Bakeries  ,Stuttgart,3,Sehne Backwaren,9.11242,BW,3.5,48.7299,  BikeParking: True    BusinessAcceptsCreditCards: False    BusinessParking: { garage : False   street : False   validated : False   lot : False   valet : False}    RestaurantsDelivery: False    RestaurantsPriceRange2: 3    RestaurantsTakeOut: True  
